,logFC,logCPM,LR,PValue,padjFilter,FDR
SLC9A3R2,0.293128988378324,8.14227507307312,8.91982436414492,0.00282392681127477,0.0105131733094446,0.0105131733094446
RPS27L,0.154295672412588,9.94686582929821,8.9033657734642,0.00284946511806118,0.0105984272030109,0.0105984272030109
PPP1R12C,-0.329986182098761,7.9901309011083,8.89483437389742,0.00286281824720269,0.0106382431998272,0.0106382431998272
MRPS28,0.326586864998473,7.95161498269836,8.87871465824503,0.00288817841307674,0.0107094751110432,0.0107094751110432
PWP1,-0.300918468557999,8.07843236400972,8.87776653694118,0.00288969655596728,0.0107094751110432,0.0107094751110432
NPC2,0.217479731381113,8.63125464089393,8.87627396331936,0.00289205040392143,0.0107094751110432,0.0107094751110432
RRBP1,-0.277168107911682,8.39427684038907,8.87462320008706,0.00289470163800726,0.0107094751110432,0.0107094751110432
ZFAND1,0.252699888627822,8.23621806090923,8.87420939200797,0.0028953173937249,0.0107094751110432,0.0107094751110432
TUBB2A,-0.31866955607626,8.58773409411257,8.86321709729975,0.00291287460186858,0.0107618057390738,0.0107618057390738
FAM96B,0.194278332355923,8.52391469147381,8.86194386336342,0.00291482316258707,0.0107618057390738,0.0107618057390738
CBX6,0.240425645810064,8.36235682998514,8.85436616531774,0.00292695766771573,0.0107966840690671,0.0107966840690671
NSL1,0.310977196884943,8.01024960804691,8.84845238054095,0.00293644379048628,0.0108217382627371,0.0108217382627371
UBE2G1,0.333463658004794,7.9902193763114,8.84024964789455,0.00294968741678875,0.0108518552422482,0.0108518552422482
RNF187,0.257844889947777,8.19273020143259,8.83853933922592,0.00295243088752623,0.0108518552422482,0.0108518552422482
PLEKHA5,0.300332704481724,8.24518152882586,8.83838102547213,0.00295272038331524,0.0108518552422482,0.0108518552422482
TUBA4A,0.334394016087605,8.10029256731285,8.83406261936716,0.00295970415960998,0.010858543958636,0.010858543958636
TUSC1,0.281575253779286,8.14546130252316,8.83236759342572,0.00296244068201137,0.010858543958636,0.010858543958636
AC027644.3,0.301612526759091,8.02324502954131,8.83222774888714,0.00296264978308813,0.010858543958636,0.010858543958636
LENG8,-0.335908385998431,8.0792356441653,8.80211650099966,0.0030119545505539,0.0110291899996126,0.0110291899996126
TMEM14C,0.174499337875841,8.89741204739891,8.78893896633053,0.00303375614144078,0.0110989056649978,0.0110989056649978
COL6A3,-0.371355078873904,8.28112379439253,8.78377437762867,0.0030424218456315,0.0111204809407659,0.0111204809407659
