,logFC,logCPM,LR,PValue,padjFilter,FDR
SAP18,0.258446656434659,12.1539970029015,2.40724822396419,0.120976807448342,0.240412509069317,0.240412509069317
EEF1A1,-0.11921811613534,15.1803158663967,2.36381985170135,0.124380500111442,0.244522351109609,0.244522351109609
TMSB10,-0.239282425117922,12.3372361308107,2.36099276230669,0.124612352007782,0.244522351109609,0.244522351109609
PCNP,-0.294588660226193,12.0022567324968,2.27130107270432,0.131991162763771,0.256516543361693,0.256516543361693
RPS9,0.169401440285793,12.8309047278442,2.26702967170218,0.132369113721899,0.256516543361693,0.256516543361693
TCEAL4,0.226850513523965,12.4856588180297,2.2504933893843,0.133783004179954,0.257656156198429,0.257656156198429
MYH11,0.17749205384674,13.475914095905,2.18498300959641,0.139570980951397,0.267154270287337,0.267154270287337
C12orf75,-0.221728425767244,12.4671596094099,2.16076333733389,0.141778342214982,0.269724651043137,0.269724651043137
UBXN1,0.253918394230666,12.0594787075688,2.10974568764624,0.146564337120908,0.276393771929951,0.276393771929951
ACTB,0.233782191034335,12.5328707960965,2.10404492847749,0.147122051856885,0.276393771929951,0.276393771929951
EEF2,0.233090064445825,12.3307469860962,2.09100513174468,0.148390553007898,0.276393771929951,0.276393771929951
RPL7A,-0.146542666898394,13.0395862598559,2.08629863416536,0.148827415654589,0.276393771929951,0.276393771929951
EIF1,0.196393297174913,12.4207902965573,2.01956893652857,0.155486354046826,0.287051730547986,0.287051730547986
RPL36AL,0.165225415088763,12.7921521419167,2.00662254526065,0.156818365974632,0.287723178841341,0.287723178841341
ATP5ME,0.251015583734307,12.0059421312971,1.99811341763797,0.157694434557273,0.287723178841341,0.287723178841341
MAP4,0.214729585366104,12.2534580256088,1.96539655463539,0.161135774251675,0.292292799805365,0.292292799805365
RPS14,-0.133926945562665,13.1411762157972,1.94096282256305,0.163761970441817,0.295339507386398,0.295339507386398
HNRNPA2B1,0.261366387522737,12.0216924553978,1.91633455254305,0.16645877499548,0.298477803440171,0.298477803440171
CSDE1,0.177400090515281,12.5631886205509,1.83160618037073,0.176133494579556,0.314020858907551,0.314020858907551
CD63,0.174763722540969,12.4901434411554,1.8058707687652,0.17920415902151,0.317680100083587,0.317680100083587
MAP1B,-0.178174718219578,12.9434173006088,1.74759991381563,0.186378408318793,0.328531431612787,0.328531431612787
MYLK,0.236954313377617,12.2542366957649,1.73545119427229,0.187927335385414,0.328774452021104,0.328774452021104
RSL24D1,-0.264635835604899,12.0972767082154,1.72996727906821,0.188623804204415,0.328774452021104,0.328774452021104
NEXN,0.246465484418342,12.4128473856896,1.69045359264885,0.193755797799167,0.335387009929986,0.335387009929986
UBC,0.241137120094687,12.0488675380525,1.68418366009644,0.194567464093998,0.335387009929986,0.335387009929986
GAS6,0.276791208158195,12.2655279314428,1.67359498544744,0.1959939915083,0.335989699728513,0.335989699728513
TLN1,0.241158461144508,12.2153790014134,1.60578378184044,0.205294412450657,0.34923915944523,0.34923915944523
